"Frame","MessageId","MessageOrderIndex","ChannelId","Timestamp","MessageAction","MessageTypeName","OriginEndpointId","DestinationEndpointId","CustomPayloadTypename","CustomPayloadUncompressedByteSize","StringPayload"
"2","95B86F2641046B4400615692454BC897","","0","2020.05.19-17.52.36","Publish","ConcertAdmin_DiscoverServersEvent","CF76517B4D10E3DA07DC04A496745935","00000000000000000000000000000000","None","0",""
"2","564BB3A141913273CBC3658EA7F186FC","","0","2020.05.19-17.52.36","Receive","ConcertReliableHandshakeData","6DB8ADB24406020CE85E5F8A7A004E35","CF76517B4D10E3DA07DC04A496745935","None","0",""
"2","564BB3A141913273CBC3658EA7F186FC","","0","2020.05.19-17.52.36","EndpointDiscovery","ConcertReliableHandshakeData","6DB8ADB24406020CE85E5F8A7A004E35","CF76517B4D10E3DA07DC04A496745935","None","0",""
"2","9EE9996A456387156E3575BC0F150E5A","","0","2020.05.19-17.52.36","Send","ConcertReliableHandshakeData","CF76517B4D10E3DA07DC04A496745935","6DB8ADB24406020CE85E5F8A7A004E35","None","0",""
"2","564BB3A141913273CBC3658EA7F186FC","","0","2020.05.19-17.52.36","Receive","ConcertReliableHandshakeData","6DB8ADB24406020CE85E5F8A7A004E35","CF76517B4D10E3DA07DC04A496745935","None","0",""
"2","59A69ADF414E662227DF1F8877909D41","","0","2020.05.19-17.52.36","Send","ConcertReliableHandshakeData","CF76517B4D10E3DA07DC04A496745935","6DB8ADB24406020CE85E5F8A7A004E35","None","0",""
"3","DDDF633B4FD35D62989C47A5EB90927B","","0","2020.05.19-17.52.36","Receive","ConcertReliableHandshakeData","6DB8ADB24406020CE85E5F8A7A004E35","CF76517B4D10E3DA07DC04A496745935","None","0",""
"3","DDDF633B4FD35D62989C47A5EB90927B","","0","2020.05.19-17.52.36","Receive","ConcertReliableHandshakeData","6DB8ADB24406020CE85E5F8A7A004E35","CF76517B4D10E3DA07DC04A496745935","None","0",""
"5","2892BDF2456F0650C6FFEEB6A4837043","","0","2020.05.19-17.52.37","Publish","ConcertAdmin_DiscoverServersEvent","CF76517B4D10E3DA07DC04A496745935","00000000000000000000000000000000","None","0",""
"8","3B94E2C845544D01DF595FAE485E9EE2","","0","2020.05.19-17.52.38","Publish","ConcertAdmin_DiscoverServersEvent","CF76517B4D10E3DA07DC04A496745935","00000000000000000000000000000000","None","0",""
"11","3F69012D48C2560DBB97F2ABCE0D846F","","0","2020.05.19-17.52.39","Publish","ConcertAdmin_DiscoverServersEvent","CF76517B4D10E3DA07DC04A496745935","00000000000000000000000000000000","None","0",""
"14","31F7E7594AB08BF3382212BFFC946013","","0","2020.05.19-17.52.40","Publish","ConcertAdmin_DiscoverServersEvent","CF76517B4D10E3DA07DC04A496745935","00000000000000000000000000000000","None","0",""
"17","3B22000E43CBB7333AB98AADA3AB7D98","","0","2020.05.19-17.52.41","Publish","ConcertAdmin_DiscoverServersEvent","CF76517B4D10E3DA07DC04A496745935","00000000000000000000000000000000","None","0",""
"20","DB968CAD452847EC3A2F40AE060F44B1","","0","2020.05.19-17.52.42","Publish","ConcertAdmin_DiscoverServersEvent","CF76517B4D10E3DA07DC04A496745935","00000000000000000000000000000000","None","0",""
